ets_gene,buf_gene,r,r_with_bat,delta_r
Cycs,Prdx5,0.33282530950698175,0.6345428636491204,-0.30171755414213863
Cox6b1,Gss,0.3323538941041553,0.5183556791234138,-0.18600178501925857
Atp5pb,Gss,0.33209452729443223,0.5113161658424188,-0.17922163854798656
Atp5f1d,Gss,0.33087165860807977,0.5237226202447931,-0.19285096163671334
Atp5f1a,Gsr,0.3297885679046628,0.650941831749184,-0.32115326384452114
Atp5mc1,Txnrd2,0.32622425342962946,-0.4420019700385623,0.7682262234681918
Cox6b1,Gsr,0.32003660217338825,0.6092370047472346,-0.2892004025738464
Ndufs8,Sod1,0.31119637861602023,0.7883908012397051,-0.47719442262368483
Atp5po,Gsr,0.31112117225038993,0.5934352176636595,-0.28231404541326954
Ndufb8,Gss,0.3096814257615035,0.4976077107479741,-0.18792628498647063
Atp5f1a,Sod1,0.3016943838419526,0.7862820505001927,-0.48458766665824016
Ndufs8,Sod2,0.29821542340472135,0.7646230734198679,-0.46640765001514656
Cox5a,Gclc,0.29772767475755857,-0.1865973198469271,0.48432499460448564
Atp5f1a,Sod2,0.2875141884396933,0.7625903201201752,-0.47507613168048196
Atp5f1c,Prdx5,0.28518048325181644,0.7463964966929023,-0.46121601344108587
Atp5mc2,Gss,0.2778620414793503,0.47781566186349633,-0.19995362038414605
Atp5f1c,Gsr,0.2768550083493824,0.6383991245410169,-0.36154411619163446
Ndufs1,Gclc,0.27586604918747154,-0.38851083703427386,0.6643768862217454
Ndufa9,Gclc,0.2729330828134089,-0.2948338363711009,0.5677669191845098
Uqcrfs1,Gclc,0.2715280054966564,-0.32434920814262963,0.595877213639286
Atp5f1a,Gss,0.2606880773361314,0.4809865812173389,-0.22029850388120747
Atp5f1d,Gsr,0.25589968432841587,0.6180455775689461,-0.3621458932405302
Atp5f1b,Gss,0.24986678449314473,0.4325450349453494,-0.18267825045220468
Atp5f1c,Gss,0.2497522553227163,0.48546341102223234,-0.23571115569951603
Atp5mc3,Sod2,0.23682646531950596,0.1883247729032429,0.048501692416263065
Atp5f1a,Gclc,0.23629392461178034,-0.4339726299815863,0.6702665545933666
Cycs,Gsr,0.2270883169684679,0.5174870680527895,-0.29039875108432167
Atp5mc3,Sod1,0.22441877740095292,0.17469518341876922,0.049723593982183706
Uqcrc1,Gclc,0.22315746887823643,-0.34665982476467505,0.5698172936429114
Ndufv1,Gsr,0.2139131689385,0.6235816536655915,-0.4096684847270915
Ndufv2,Gclc,0.2126971944489133,-0.3906046885854184,0.6033018830343317
Ndufs1,Gsr,0.20240852035307305,0.6169269142613703,-0.4145183939082972
Cyc1,Gclc,0.20108071892419732,-0.38072510336885784,0.5818058222930551
Uqcrb,Gclc,0.19262178611794387,-0.30322631837242237,0.4958481044903662
Ndufa10,Gclc,0.19168410014817797,-0.4472031526607478,0.6388872528089258
Atp5f1c,Gclc,0.17939810295722058,-0.409075345010502,0.5884734479677226
Ndufs3,Gsr,0.17086946362611732,0.58846631615337,-0.41759685252725265
Atp5mc1,Gsr,0.16895281871665957,-0.44205884904292897,0.6110116677595885
Ndufv1,Gclc,0.16768571918553607,-0.44528882139665726,0.6129745405821934
Ndufb8,Gclc,0.16313222216613887,-0.24626348900215023,0.4093957111682891
Cox5b,Gclc,0.15284809373295302,-0.293553967136883,0.446402060869836
Atp5pb,Gclc,0.14844277637636996,-0.2508569383362703,0.39929971471264025
Atp5f1a,Prdx5,0.1443913787079202,0.7270272285375189,-0.5826358498295987
Atp5f1b,Gclc,0.14273476072717084,-0.1966507616267839,0.33938552235395475
Atp5mc3,Gss,0.14268959338623993,0.1453900007317212,-0.0027004073454812705
Atp5f1d,Gclc,0.13072073075829715,-0.3793516993125865,0.5100724300708837
Ndufs7,Gclc,0.11736424496551974,-0.4109325318130451,0.5282967767785649
Cox6a1,Gclc,0.11356101225899438,-0.25724517227744714,0.37080618453644154
Atp5mc3,Gpx1,0.11336371248124034,0.10809178239748428,0.005271930083756066
Ndufs8,Gpx4,0.11245949653998184,0.614431831437153,-0.5019723348971711
Ndufs8,Txn2,0.10333614772460485,0.580494935320319,-0.4771587875957142
Cox4i1,Gclc,0.0855265363403377,-0.24017869100106368,0.3257052273414014
Ndufv1,Gss,0.08442293524016808,0.43349932091937354,-0.34907638567920546
Ndufs3,Gss,0.0806061707392044,0.4101027180307674,-0.329496547291563
Ndufs3,Gclc,0.07956162436704509,-0.41294648205759427,0.4925081064246394
Atp5mc2,Gclc,0.0739108663903724,-0.3063558004408714,0.3802666668312438
Ndufs8,Glrx2,0.0736808289736223,0.577707581454969,-0.5040267524813468
Cox7a2,Gclc,0.071241497291169,-0.3775133728051169,0.4487548700962859
Atp5po,Gclc,0.06495423444210224,-0.31409351789317713,0.3790477523352794
Ndufs8,Prdx3,0.05974037484681755,0.6463503446664205,-0.5866099698196029
Ndufs8,Prdx5,0.04692016425753733,0.7175579712308676,-0.6706378069733303
Atp5f1a,Gpx1,0.035187749446526126,-0.09925910453628475,0.13444685398281087
Cox6b1,Gclc,0.03265821215109904,-0.3508202114480946,0.38347842359919365
Ndufs8,Gclm,0.03136157633430268,0.277121249705311,-0.24575967337100832
Cycs,Gclc,0.025833831036426013,-0.3055394866649455,0.3313733177013715
Ndufv1,Sod1,0.02538513191930456,0.7299236686201562,-0.7045385367008516
Ndufv1,Prdx5,0.02109983654133811,0.69836662482648,-0.677266788285142
Atp5mc3,Gclc,0.020956511830812003,-0.00206527844877218,0.023021790279584183
Atp5mc1,Nnt,0.020193389272981702,0.7749123910071701,-0.7547190017341884
Atp5mc2,Gsr,0.01948635957372139,0.4219033864417635,-0.4024170268680421
Ndufs3,Prdx5,0.01897856762970277,0.6394508391059429,-0.6204722714762402
Atp5f1a,Gclm,0.01847779856354902,0.27080626247759954,-0.2523284639140505
Atp5mc3,Gsr,0.002405770072008769,0.02522475904145173,-0.022818988969442962
Atp5f1a,Glrx2,-0.021865821540234958,0.5491936318220318,-0.5710594533622668
